time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574112033, 99, -48, 2823, -151, -1037, -223, 0.013415
1574112033, 196, -54, 3161, -18, -1031, -275, 0.013436
1574112033, 255, -52, 3456, -110, -1134, -380, 0.013419
1574112033, 340, -109, 3635, -138, -1256, -458, 0.013432
1574112033, 386, -104, 3771, -51, -1293, -521, 0.013806
1574112033, 535, -76, 3718, 125, -1239, -487, 0.013661
1574112033, 566, 36, 3555, 250, -1072, -415, 0.013461
1574112033, 826, 68, 3384, 299, -572, -198, 0.013419
1574112033, 1312, -270, 3624, 298, -16, -201, 0.013445
1574112033, 1366, -170, 3592, 409, 52, -636, 0.013422
1574112034, 1256, 78, 2963, 519, 256, -875, 0.013436
1574112034, 1176, 97, 2742, 444, 887, -805, 0.013418
1574112034, 951, 82, 2681, 469, 1159, -600, 0.013467
1574112034, 1180, -107, 2594, 263, 1151, -494, 0.013669
1574112034, 965, 133, 2292, 198, 1119, -546, 0.013443
1574112034, 843, 270, 1804, 53, 1206, -523, 0.013418
1574112034, 796, 50, 1892, -477, 1635, -479, 0.013452
1574112034, 529, 38, 1540, -445, 1667, -442, 0.013415
1574112034, 460, -347, 2271, -466, 1407, -631, 0.013892
1574112034, 417, -413, 1825, -206, 918, -784, 0.013442
1574112034, 314, -333, 1700, 246, 419, -782, 0.013470
1574112034, 416, 57, 833, 780, 395, -641, 0.013675
1574112034, 452, 136, 657, 815, 732, -429, 0.013416
1574112034, 463, 55, 605, 595, 660, -414, 0.013439
1574112034, 290, 66, 190, 569, 710, -451, 0.013422
1574112034, 77, -29, 208, 588, 862, -350, 0.013439
1574112034, 58, -51, 149, 645, 769, -230, 0.013415
1574112034, 34, -84, 249, 682, 640, -145, 0.013460
1574112034, 19, -16, 99, 899, 621, 6, 0.013679
1574112034, -5, -8, 150, 1104, 472, 89, 0.013446
1574112034, 123, 165, 25, 1026, 255, 91, 0.013418
1574112034, 198, 236, 34, 649, 361, 59, 0.013437
1574112034, 32, 153, 323, 179, 546, 33, 0.013439
1574112034, -56, 105, 472, -56, 488, 37, 0.013460
1574112034, -121, 114, 584, 58, 464, 65, 0.013475
1574112034, -237, 135, 711, 133, 478, 104, 0.013469
1574112034, -255, 139, 865, 25, 376, 148, 0.013720
1574112034, -182, 176, 872, -11, 324, 210, 0.013455
1574112034, -56, 276, 848, 25, 327, 235, 0.013436
1574112034, -26, 328, 929, -76, 297, 153, 0.013411
1574112034, -70, 119, 1264, -289, 99, -35, 0.013185
1574112034, -19, 87, 1357, -276, -2, -91, 0.013418
1574112034, 7, 65, 1346, -351, 53, -80, 0.013647
1574112034, -49, 2, 1302, -309, 147, -31, 0.013538
1574112034, 18, -67, 1322, -176, 105, -56, 0.013391
1574112034, -44, -9, 1265, -83, 41, -109, 0.013443
1574112034, -50, -8, 1136, -35, 6, -110, 0.013457
1574112034, 32, -5, 1096, -10, 24, -107, 0.013500
1574112034, 82, -2, 929, 128, 37, -146, 0.013693
1574112034, 115, -18, 952, 145, -45, -216, 0.013419
1574112034, 100, 91, 626, 184, -52, -229, 0.013436
1574112034, -18, 165, 535, 154, -5, -133, 0.013463
1574112034, 109, 103, 685, -175, 43, -71, 0.013487
1574112034, 135, 97, 617, -229, 156, -94, 0.013425
1574112034, -53, 71, 719, -125, 131, -174, 0.013443
1574112034, -154, 61, 886, -102, -21, -236, 0.013498
1574112034, -408, 89, 729, 101, -336, -206, 0.013645
1574112034, -381, 128, 785, 58, -667, -55, 0.013433
1574112034, -152, 215, 554, 39, -680, 189, 0.013415
1574112034, 126, 212, 569, -1, -494, 359, 0.013436
1574112034, 278, 117, 726, -111, -180, 422, 0.013460
