time, roll, pitch, heading 
1574070990.702676, 142.193924, -41.840302, 0.000000
1574070990.716874, 144.187271, -41.296955, 0.000000
1574070990.729833, 146.384995, -40.816299, 0.000000
1574070990.744040, 148.881561, -41.015335, 0.000000
1574070990.757221, 150.195786, -41.595551, 0.000000
1574070990.770291, 152.250519, -40.616974, 0.000000
1574070990.784556, 154.074402, -39.476761, 0.000000
1574070990.802096, 154.610031, -38.252544, 0.000000
1574070990.812879, 155.668015, -36.472713, 0.000000
1574070990.825763, 157.358398, -35.231491, 0.000000
1574070990.839003, 159.816818, -34.664497, 0.000000
1574070990.851687, 161.493057, -34.843094, 0.000000
1574070990.864531, 162.593201, -35.013477, 0.000000
1574070990.878673, 163.428619, -35.431068, 0.000000
1574070990.891888, 165.314880, -34.713909, 0.000000
1574070990.904855, 166.265503, -33.562649, 0.000000
1574070990.918941, 167.183075, -32.321983, 0.000000
1574070990.931863, 167.434082, -31.401672, 0.000000
1574070990.944981, 168.129333, -31.610891, 0.000000
1574070990.960233, 169.128769, -31.893612, 0.000000
1574070990.973153, 170.258453, -32.245697, 0.000000
1574070990.986113, 171.156082, -32.619713, 0.000000
1574070990.999130, 171.743530, -32.955273, 0.000000
1574070991.015707, 172.016251, -33.301258, 0.000000
1574070991.026285, 173.379318, -32.329937, 0.000000
1574070991.040485, 174.928207, -32.676155, 0.000000
1574070991.052440, 175.794022, -33.198368, 0.000000
1574070991.066533, 176.728165, -33.596115, 0.000000
1574070991.079621, 178.719574, -33.140358, 0.000000
1574070991.093956, 178.554184, -32.679054, 0.000000
1574070991.110701, 178.492722, -31.977251, 0.000000
1574070991.121260, -179.774216, -31.264194, 0.000000
1574070991.133109, -179.624420, -31.598911, 0.000000
1574070991.147167, -178.099579, -31.605553, 0.000000
1574070991.162465, -177.943420, -30.355452, 0.000000
1574070991.174440, -177.514465, -29.085403, 0.000000
1574070991.188555, -176.166199, -29.184361, 0.000000
1574070991.200230, -176.295929, -29.532108, 0.000000
1574070991.215249, -177.041962, -29.117704, 0.000000
1574070991.228145, -175.807617, -28.118593, 0.000000
1574070991.241319, -176.226974, -27.917776, 0.000000
1574070991.254409, -176.061783, -26.249022, 0.000000
1574070991.267515, -176.611542, -26.021656, 0.000000
1574070991.281373, -176.257599, -26.163799, 0.000000
1574070991.294653, -175.481979, -25.985374, 0.000000
1574070991.307827, -174.381241, -24.632330, 0.000000
1574070991.322327, -175.013809, -23.434025, 0.000000
1574070991.335642, -175.148697, -21.708876, 0.000000
1574070991.347416, -174.932632, -19.877220, 0.000000
1574070991.361980, -174.683716, -18.127249, 0.000000
1574070991.375286, -174.265350, -16.494432, 0.000000
1574070991.388196, -173.987518, -14.673906, 0.000000
1574070991.402568, -173.770905, -14.489358, 0.000000
1574070991.416761, -173.441330, -14.455720, 0.000000
1574070991.428698, -173.213074, -14.725099, 0.000000
1574070991.443075, -172.841644, -15.096128, 0.000000
1574070991.456137, -173.038025, -13.612297, 0.000000
1574070991.470195, -172.975784, -11.987503, 0.000000
1574070991.483108, -172.302002, -10.449827, 0.000000
1574070991.496068, -171.786255, -10.817396, 0.000000
1574070991.508925, -171.277054, -11.263127, 0.000000
1574070991.523284, -171.068649, -11.711970, 0.000000
1574070991.536337, -171.363480, -10.616556, 0.000000
1574070991.549463, -171.237534, -9.461584, 0.000000
1574070991.563960, -170.231506, -9.754763, 0.000000
1574070991.576890, -170.190231, -10.440916, 0.000000
1574070991.590096, -170.348801, -11.096543, 0.000000
1574070991.607083, -170.718338, -11.706204, 0.000000
1574070991.631689, -170.799377, -12.410583, 0.000000
1574070991.633041, -170.777328, -13.207055, 0.000000
1574070991.646230, -169.468063, -12.689862, 0.000000
1574070991.657171, -169.304291, -13.631978, 0.000000
1574070991.684305, -169.838654, -13.264151, 0.000000
1574070991.685406, -169.003876, -12.336419, 0.000000
1574070991.697477, -168.104980, -12.697056, 0.000000
1574070991.710461, -168.033585, -13.345119, 0.000000
1574070991.724804, -167.163696, -13.603321, 0.000000
1574070991.737678, -167.779083, -12.518563, 0.000000
1574070991.750800, -167.824066, -11.282814, 0.000000
1574070991.765228, -168.184097, -11.896546, 0.000000
1574070991.778137, -169.006577, -11.189784, 0.000000
1574070991.791310, -169.143890, -10.065591, 0.000000
1574070991.804442, -168.624939, -9.223587, 0.000000
